8911,5665202,517046,2,NaN,NaN,517046,2,1974,2,2,1,6,1,1,31,7,5,3,3,4,6,1,3,4,2,6,6,6,3,4,2,1,2,2,2,2,2,NaN,1,1,NaN,3,2,3,80,30,0,50,0,30,100,50,40,100,NaN,NaN,NaN,NaN,NaN,33,1,2,5,2,1,2,NaN,1,1,NaN,3,4,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,7,6,3,3,5,7,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,5,530,2,2,6,5,2,6,3,6,3,4,7,3,4,7,4,6,4,NaN,1,NaN,67,NaN,11,5,522,4
3432,2524601,252468,3,30,55,252468,2,1971,1,1,1,7,2,1,34,7,7,2,6,5,6,3,7,6,2,4,5,7,6,4,2,3,1,6,2,2,2,NaN,5,1,NaN,3,NaN,NaN,0,0,0,0,0,0,0,0,100,0,NaN,NaN,NaN,NaN,NaN,NaN,1,9,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,4,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,7,7,1,6,4,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,1140,NaN,4,6,10,0,3,7,5,2,6,4,5,4,1,4,3,3,5,6,5,4,NaN,1,NaN,NaN,NaN,11,6,630,5
5401,2933702,293377,2,37,43,293377,2,1968,1,1,1,2,2,1,37,6,2,4,NaN,7,2,4,4,3,4,5,4,6,5,5,2,1,2,8,2,2,2,NaN,NaN,NaN,NaN,3,NaN,4,30,40,0,0,10,10,0,10,50,40,NaN,NaN,NaN,NaN,NaN,30,1,2,12,2,1,2,NaN,1,1,NaN,3,4,NaN,NaN,NaN,NaN,1,2,2,3,3,2,6,6,3,4,6,8,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,530,2,2,4,3,3,3,4,2,1,2,4,4,1,6,5,4,5,NaN,1,NaN,NaN,NaN,11,3,530,7
5215,2890401,289043,2,23,54,289043,2,1966,1,1,1,7,2,1,39,6,6,2,5,3,5,2,7,4,4,6,5,6,7,6,2,1,2,20,2,2,2,NaN,1,1,NaN,2,7,4,0,0,10,30,50,0,0,0,10,20,NaN,NaN,NaN,NaN,NaN,21,1,2,15,2,1,2,NaN,1,1,NaN,3,4,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,6,4,5,5,3,8,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,530,1,2,7,5,6,6,5,5,2,3,6,5,2,6,5,3,1,NaN,1,NaN,420,NaN,11,3,530,7
5743,3000802,300080,1,NaN,56,300080,2,1973,2,2,1,10,1,1,32,7,4,6,7,6,2,1,4,7,6,5,4,4,6,2,2,3,1,3,2,2,2,NaN,5,5,NaN,3,NaN,4,40,0,0,30,0,0,0,0,40,0,NaN,NaN,NaN,NaN,NaN,43,3,1,3,2,1,2,NaN,4,NaN,NaN,3,4,NaN,NaN,NaN,NaN,1,2,2,3,2,2,7,4,5,7,6,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,11,6,530,1,1,6,5,4,6,5,5,1,4,5,3,3,7,6,3,4,NaN,1,NaN,NaN,NaN,11,6,530,7
9010,7005902,700592,0,NaN,51,700592,2,1967,1,1,1,6,2,3,38,6,6,4,6,4,4,4,4,2,6,6,4,5,5,2,2,3,1,5,2,2,2,NaN,5,5,NaN,3,NaN,4,0,0,0,0,10,0,0,0,30,0,NaN,NaN,NaN,NaN,NaN,NaN,3,1,6,2,1,2,NaN,4,4,NaN,3,4,NaN,NaN,NaN,NaN,1,2,2,3,3,2,5,6,2,2,4,9,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,11,5,530,0,0,7,4,4,6,6,6,4,3,6,2,4,7,4,4,2,NaN,1,NaN,NaN,NaN,11,5,530,2
3832,2597501,259756,0,55,NaN,259756,2,1968,1,1,1,3,2,1,37,6,6,2,6,6,2,2,6,6,4,6,5,6,7,4,2,3,1,35,2,2,2,NaN,1,1,NaN,3,NaN,4,70,10,10,70,10,10,0,0,80,0,NaN,NaN,NaN,NaN,NaN,42.5,3,1,30,2,1,2,NaN,1,1,NaN,3,3,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,7,7,2,6,7,8,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,522,0,0,6,6,5,6,5,6,3,4,5,6,3,5,6,5,5,NaN,1,NaN,NaN,NaN,11,3,530,5
3359,2505802,250589,0,NaN,NaN,250589,2,1976,1,1,1,5,2,1,29,6,5,3,5,4,6,2,6,4,5,6,4,6,5,4,2,3,2,4,2,1,2,2,2,3,NaN,3,4,NaN,20,50,20,80,0,10,0,70,40,NaN,NaN,NaN,NaN,NaN,NaN,40,3,1,7,2,1,2,NaN,1,1,NaN,3,4,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,7,5,1,5,6,7,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,5,530,0,0,7,1,1,4,2,4,1,5,6,3,2,5,3,4,2,NaN,1,460,NaN,NaN,11,4,220,6
7544,5011603,501166,3,46,51,501166,2,1972,2,2,1,5,1,1,33,5,5,3,4,6,6,4,4,3,3,4,2,5,2,4,2,1,9,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,2,2,2,NaN,1,9,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,4,2,2,3,NaN,NaN,NaN,NaN,NaN,NaN,5,5,1,4,6,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,10,1,3,7,4,4,6,6,6,1,6,1,7,5,6,6,6,4,NaN,NaN,NaN,275,NaN,4,3,10,6
2323,852702,21180,1,NaN,NaN,21180,2,1967,1,1,1,8,2,1,38,6,5,5,5,6,5,6,4,3,5,6,3,5,4,2,2,1,9,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,3,2,2,3,NaN,1,9,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,6,4,5,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,13,1,1,5,4,5,6,3,4,4,4,3,5,5,5,4,5,6,NaN,NaN,NaN,NaN,NaN,1,3,13,5
